,Better than VGT?
0,0
1,0
2,1
3,0
4,1
5,1
6,1
7,0
8,0
9,1
10,0
11,0
12,0
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,0
365,0
384,1
385,1
386,1
387,0
388,1
389,1
390,1
392,0
393,0
394,1
395,0
396,0
398,0
399,0
400,0
401,1
404,0
405,0
407,0
408,0
409,1
410,0
411,0
413,1
416,0
417,1
418,0
419,1
420,0
421,1
422,1
424,0
425,1
426,1
427,0
428,0
429,0
431,1
433,1
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
446,1
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,1
457,0
458,0
459,0
460,0
461,1
463,0
464,0
465,0
467,1
468,1
469,1
470,0
471,1
472,0
473,0
474,0
475,1
476,0
477,1
478,1
479,0
480,1
481,0
482,0
483,0
484,0
485,0
486,1
487,0
488,0
489,1
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,0
498,0
499,0
511,1
512,1
513,0
514,0
515,1
516,1
518,0
519,1
520,0
521,0
522,1
523,0
524,1
525,1
526,1
530,1
531,1
532,0
533,0
534,0
535,0
539,0
541,1
543,1
544,0
545,0
546,0
547,0
548,1
549,0
550,1
552,0
553,0
554,0
555,0
556,0
557,1
559,0
560,1
561,0
562,1
564,0
565,1
566,0
567,1
568,1
569,0
570,1
571,0
572,0
573,0
574,0
575,1
576,1
577,1
578,1
579,1
580,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,1
592,0
593,1
594,1
595,1
596,1
597,1
598,1
599,0
600,0
601,0
602,0
603,1
604,0
605,0
606,0
607,1
608,0
609,1
610,0
611,0
612,1
613,0
614,0
615,1
616,0
617,0
618,0
619,0
621,1
623,0
624,0
625,0
626,0
627,1
628,1
629,1
630,1
631,1
632,0
633,1
634,0
635,1
636,0
637,1
639,0
640,0
641,1
642,1
643,1
644,0
645,0
646,0
647,1
648,0
649,1
650,0
651,0
652,0
653,0
654,0
655,1
656,0
657,0
658,0
659,0
660,0
661,0
662,1
663,0
664,0
665,1
666,0
667,1
668,1
669,1
670,0
671,0
672,1
673,0
674,0
675,1
1033,1
1034,0
1035,1
1036,1
1037,1
1039,1
1040,1
1041,0
1042,1
1044,0
1045,1
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,1
1053,1
1072,0
1073,0
1074,0
1075,0
1078,1
1079,1
1080,1
1081,0
1082,1
1083,1
1084,0
1085,0
1087,1
1089,1
1090,0
1104,1
1105,1
1106,0
1107,1
1108,1
1110,0
1111,1
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1120,1
1121,1
1122,0
1123,1
1124,0
1125,1
1126,0
1127,0
1128,0
1130,0
1131,0
1132,0
1133,0
1136,0
1137,1
1138,0
1139,0
1142,0
1143,1
1144,0
1145,0
1146,1
1147,1
1148,1
1149,1
1151,1
1152,0
1153,1
1154,0
1155,0
1156,1
1157,0
1158,1
1159,0
1160,0
1163,0
1164,1
1165,0
1166,1
1168,1
1169,1
1170,0
1171,0
1172,1
1173,0
1174,0
1175,0
1176,1
1177,1
1178,0
1179,0
1180,1
1181,1
1184,0
1185,0
1186,1
1187,0
1188,1
1189,1
1190,0
1191,1
1192,0
1196,0
1197,0
1199,1
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1207,0
1208,0
1209,1
1210,1
1211,0
1212,0
1213,1
1216,0
1219,0
1220,0
1221,0
1222,1
1223,0
1224,1
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1233,1
1234,1
1235,0
1236,1
1237,0
1238,1
1239,1
1240,0
1241,0
1242,1
1243,1
1244,0
1245,1
1246,1
1248,0
1249,1
1250,0
1252,1
1253,0
1254,1
1256,0
1257,1
1258,0
1259,1
1260,0
1261,1
1262,0
1263,0
1264,1
1265,1
1266,0
1267,0
1268,0
1269,0
1270,0
1271,1
1272,0
1273,1
1274,1
1275,0
1276,1
1277,0
1278,0
1280,1
1281,0
1282,0
1283,1
1284,1
1285,1
1286,0
1287,1
1288,0
1289,0
1290,0
1291,0
1292,0
1293,1
1295,0
1296,0
1297,1
1298,1
1299,0
1300,0
1301,0
1302,1
1303,1
1305,0
1306,0
1307,0
1308,0
